anecdotes,fichier,anecdotes_reco,boucle_tâche.thisRepN,boucle_tâche.thisTrialN,boucle_tâche.thisN,boucle_tâche.thisIndex,boucle_reco.thisRepN,boucle_reco.thisTrialN,boucle_reco.thisN,boucle_reco.thisIndex,textWelcome.started,textWelcome.stopped,Instructions.started,key_resp.started,key_resp.keys,key_resp.rt,Anecdotes.started,tache_text.started,Validation_button.started,mouse_click.started,tache_text.text,mouse_click.x,mouse_click.y,mouse_click.leftButton,mouse_click.midButton,mouse_click.rightButton,mouse_click.time,mouse_click.clicked_name,feedbacktext.started,feedback_fichier_train.started,feedbacktext.stopped,feedback_fichier_train.stopped,text.started,text.stopped,waiting_screen.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,blank.started,blank.stopped,text_3.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,Anecdotes_reco.started,reco_text.started,validation_reco.started,mouse_reco.started,reco_text.text,mouse_reco.x,mouse_reco.y,mouse_reco.leftButton,mouse_reco.midButton,mouse_reco.rightButton,mouse_reco.time,mouse_reco.clicked_name,text_2.started,end.started,participant,session,date,expName,psychopyVersion,frameRate,
Il y a eu 25 présidents Français ,DONNEES,Il y a eu 25 présidents Français ,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653.4268905001227,1653.9266874000896,,,,,1648.0270811000373,1648.0270811000373,1648.0270811000373,0.0024389999452978373,FAIT,"[-0.006481481481481481, -0.010185185185185186]","[-0.41388888888888886, -0.3925925925925926]","[1, 1]","[0, 0]","[0, 0]","[4.7633936000056565, 5.39705969998613]",['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
L’océan Atlantique est plus salé que l’océan Pacifique,NOMS,L’océan Atlantique est plus salé que l’océan Pacifique,,,,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658.9435187999625,1659.4434711001813,,,,,1653.9266874000896,1653.9266874000896,1653.9266874000896,0.0032818999607115984,NOM,[0.014814814814814815],[-0.3972222222222222],[1],[0],[0],[5.012223399942741],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes ,INFOS,La raie manta peut atteindre 9 mètres de long pour environ 2 tonnes ,,,,,0,14,14,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669.0766718999948,1669.5765851000324,,,,,1659.4434711001813,1659.4434711001813,1659.4434711001813,0.0030472001526504755,INFO,"[0.008333333333333333, -0.001851851851851852]","[-0.3861111111111111, -0.3962962962962963]","[1, 1]","[0, 0]","[0, 0]","[9.262685799971223, 9.62952829990536]",['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Les oiseaux bleus ne peuvent pas voir la couleur bleue  ,FAITS,Les oiseaux bleus ne peuvent pas voir la couleur bleue  ,,,,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672.6101016001776,1673.110125400126,,,,,1669.5765851000324,1669.5765851000324,1669.5765851000324,0.0032676998525857925,FAIT,[-0.026851851851851852],[-0.39444444444444443],[1],[0],[0],[3.0291538999881595],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",NOMS,"Tout comme l’empreinte digitale, le cœur est propre à chaque individu et on peut l’identifier grâce à sa signature cardiaque ",,,,,0,16,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.6598869001027,1682.159802600043,,,,,1673.110125400126,1673.110125400126,1673.110125400126,0.005562399979680777,POINT,[-0.001851851851851852],[-0.4046296296296296],[1],[0],[0],[8.543320099823177],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Une personne brule plus de calories quand il dort que lorsqu’il regarde la télé  ,ITEMS,Une personne brule plus de calories quand il dort que lorsqu’il regarde la télé  ,,,,,0,17,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.4931996001396,1688.9931193999946,,,,,1682.159802600043,1682.159802600043,1682.159802600043,0.004638900049030781,INFO,[-0.010185185185185186],[-0.3972222222222222],[1],[0],[0],[6.327636500122026],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005 ,NOMS,Les concerts Live 8 ont pris place dans les pays du G8 et en Afrique du Sud en juillet 2005 ,,,,,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.526481000008,1696.0264891001862,,,,,1688.9931193999946,1688.9931193999946,1688.9931193999946,0.004977500066161156,NOM,[0.003703703703703704],[-0.38981481481481484],[1],[0],[0],[6.527672100113705],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,INFOS,Les élastiques sont plus longs quand ils sont très froids/réfrigérés ,,,,,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.7429190000985,1701.243011200102,,,,,1696.0264891001862,1696.0264891001862,1696.0264891001862,0.004203899996355176,POINT,[-0.020370370370370372],[-0.3972222222222222],[1],[0],[0],[4.713602000148967],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005 ,DONNEES,Un attentat terroriste a eu lieu dans les métros Londonien en juillet 2005 ,,,,,0,20,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716.3095009000972,1716.8096786001697,,,,,1701.243011200102,1701.243011200102,1701.243011200102,0.0016673000063747168,,[0.007407407407407408],[-0.4064814814814815],[1],[0],[0],[15.062049900181592],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
L’Europe est le seul continent sans désert ,DONNEES,L’Europe est le seul continent sans désert ,,,,,0,21,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.4093745001592,1744.9092572999652,,,,,1716.8096786001697,1716.8096786001697,1716.8096786001697,0.0028704998549073935,DONNEE,[-0.017592592592592594],[-0.3925925925925926],[1],[0],[0],[27.595903600100428],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La cacahuète est l’un des ingrédients de la dynamite  ,POINTS,La cacahuète est l’un des ingrédients de la dynamite  ,,,,,0,22,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.475872399984,1748.975848000031,,,,,1744.9092572999652,1744.9092572999652,1744.9092572999652,0.0035088001750409603,POINT,[-0.02962962962962963],[-0.3990740740740741],[1],[0],[0],[3.562289500143379],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Le cœur d’une crevette est dans sa tête  ,POINTS,Le cœur d’une crevette est dans sa tête  ,,,,,0,23,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754.3090666001663,1754.8090467001311,,,,,1748.975848000031,1748.975848000031,1748.975848000031,0.0028679000679403543,INFO,[-0.022222222222222223],[-0.39537037037037037],[1],[0],[0],[5.329580099787563],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,FAITS,Une vache produit environ 200 000 bouteilles de lait dans sa vie  ,,,,,0,24,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760.4757116001565,1760.9759073001333,,,,,1754.8090467001311,1754.8090467001311,1754.8090467001311,0.0036639999598264694,FAIT,[-0.022222222222222223],[-0.39537037037037037],[1],[0],[0],[5.6622550000902265],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Les ongles incarnés sont héréditaires ,DONNEES,Les ongles incarnés sont héréditaires ,,,,,0,25,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.5756405000575,1764.0758971001487,,,,,1760.9759073001333,1760.9759073001333,1760.9759073001333,0.0023393998853862286,FAIT,[0.001851851851851852],[-0.40555555555555556],[1],[0],[0],[2.596746399998665],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
L’œil d’une autruche est plus gros que son cerveau  ,ITEMS,L’œil d’une autruche est plus gros que son cerveau  ,,,,,0,26,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779.9422065999825,1780.4422892001458,,,,,1764.0758971001487,1764.0758971001487,1764.0758971001487,0.0030163999181240797,DONNEE,"[-0.11944444444444445, -0.020370370370370372, -0.009259259259259259]","[-0.35462962962962963, -0.38333333333333336, -0.3962962962962963]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[15.179481700062752, 15.562726400094107, 15.862815000116825]",['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald  ,NOMS,Il y a en moyenne 178 graines de sésames sur le pain du Big Mac de McDonald  ,,,,,0,27,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.608741800068,1788.108925800072,,,,,1780.4422892001458,1780.4422892001458,1780.4422892001458,0.0037638999056071043,NOM,[-0.021296296296296296],[-0.3990740740740741],[1],[0],[0],[7.162041099974886],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
Les frites sont originaires de France et non de Belgique,INFOS,Les frites sont originaires de France et non de Belgique,,,,,0,28,28,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.3420776000712,1792.842075200053,,,,,1788.108925800072,1788.108925800072,1788.108925800072,0.0026865999680012465,INFO,[-0.006481481481481481],[-0.40185185185185185],[1],[0],[0],[4.229138700058684],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours ,ITEMS,La pyramide de Gizé est la seule des 7 merveilles de l’ancien monde qui existe toujours ,,,,,0,29,29,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801.5252539999783,1802.0252531999722,,,,,1792.842075200053,1792.842075200053,1792.842075200053,0.004950299859046936,INFO,[-0.010185185185185186],[-0.39814814814814814],[1],[0],[0],[8.677991699893028],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La plus longue composition classique prendrait 639 ans à être interprétée  ,POINTS,La plus longue composition classique prendrait 639 ans à être interprétée  ,,,,,0,30,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810.3087063001003,1810.8084232001565,,,,,1802.0252531999722,1802.0252531999722,1802.0252531999722,0.0037569000851362944,POINT,"[0.007407407407407408, -0.008333333333333333]","[-0.3861111111111111, -0.3907407407407407]","[1, 1]","[0, 0]","[0, 0]","[7.478203099919483, 8.278335499810055]",['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,ITEMS,La Corée du Nord a annoncé avoir conduit un test nucléaire avec succès en octobre 2006  ,,,,,0,31,31,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.9419550001621,1817.4418568001129,,,,,1810.8084232001565,1810.8084232001565,1810.8084232001565,0.003820299869403243,NOM,[-0.018518518518518517],[-0.3990740740740741],[1],[0],[0],[6.128632199950516],['validation_reco'],,,AK4,001,2023-03-17_12h01.51.012,Expérimentation1_SOLO,2022.2.5,60.031720779161645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817.4418568001129,1817.4418568001129,,,,,,,
